Additional Links,Status,Other,,
,,,,
,,,,
https://developers.facebook.com/docs/reference/android/current,C,,,
,,,,
http://boltsframework.github.io/Bolts-Android/,OK,,,C: CUSTOM
,,,,
https://firebase.google.com/docs/reference/android/packages,C,,,OK: JAVADOC formatında
https://bumptech.github.io/glide/javadocs/4120/index.html,OK,,,G: Genel bilgi linki
https://www.javadoc.io/doc/com.google.code.gson/gson/latest/com.google.gson/com/google/gson/package-summary.html,OK,,,
https://square.github.io/okhttp/4.x/okhttp/okhttp3/,C,,,
,,,,
https://zxing.github.io/zxing/apidocs/,OK,,,
,,,,
,,,,
https://firebase.google.com/docs/reference/android/packages,C,,,
https://firebase.google.com/docs/reference/android/packages,C,,,
,,,,
http://jakewharton.github.io/butterknife/javadoc/,OK,,,
,,,,
,,,,
,,,,
https://www.javadoc.io/doc/com.google.maps.android/android-maps-utils/latest/index.html,OK,,,
https://guava.dev/releases/snapshot-jre/api/docs/,OK,,,
,,,,
,,,,
https://sdk.amazonaws.com/java/api/latest/,OK,,,
https://www.joda.org/joda-time/apidocs/index.html,OK,,,
,,,,
,,,,
https://developer.fyber.com/hc/en-us/articles/360010079657-Android-SDK-Integration,G,,,
,,,,
,,,,
,,,,
https://square.github.io/okio/2.x/okio/okio/,C,,,
http://flurry.github.io/flurry-android-sdk/,OK,http://flurry.github.io/flurry-android-sdk/ads/index.html,,
,,,,
,,,,
http://www.slf4j.org/apidocs/index.html,OK,,,
,,,,
,,,,
,,,,
http://logback.qos.ch/apidocs/index.html,OK,,,
https://ormlite.com/javadoc/ormlite-android/,OK,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
https://googleapis.dev/java/google-api-client/latest/index.html,OK,,,
https://developers.mopub.com/publishers/reference/android/MoPub/,C,,,
https://exoplayer.dev/doc/reference/,C,on packages page,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
https://developers.google.com/protocol-buffers/docs/reference/java,OK,,,
,,,,
,,,,
https://junit.org/junit5/docs/current/api/,C,,,
https://docs.unity3d.com/Manual/index.html,C,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
http://square.github.io/dagger/1.x/dagger/,OK,,,
,,,,
,,,,
,,,,
,,,,
https://answers.chartboost.com/en-us/child_article/chartboost-api-overview,G,,,
,,,,
https://zxing.github.io/zxing/apidocs/,OK,,,
,,,,
https://guava.dev/releases/snapshot-jre/api/docs/,OK,,,
https://developers.google.com/youtube/android/player/reference/com/google/android/youtube/player/package-summary.html,A,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
https://unityads.unity3d.com/help/android/api-android,C,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
http://twitter4j.org/oldjavadocs/4.0.0/index.html,OK,,,
,,,,
http://android-query.googlecode.com/svn/trunk/javadoc/index.html?com/androidquery/AbstractAQuery.html,ERROR,,,
,,,,
,,,,
http://www.siegmann.nl/static/epublib/apidocs/,OK,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
