,url,api,class,method,description
0,Bolts-Android/bolts,bolts,Class AggregateException,"public AggregateException(java.lang.String detailMessage, java.lang.Throwable[] innerThrowables)","Constructs a new AggregateException with the current stack trace, the specified detail message and with references to the inner throwables that are the cause of this exception."
1,Bolts-Android/bolts,bolts,Class AggregateException,"public AggregateException(java.lang.String detailMessage, java.util.List<? extends java.lang.Throwable> innerThrowables)","Constructs a new AggregateException with the current stack trace, the specified detail message and with references to the inner throwables that are the cause of this exception."
2,Bolts-Android/bolts,bolts,Class AggregateException,public java.util.List<java.lang.Throwable> getInnerThrowables(),Returns a read-only List of the Throwable instances that caused the current exception.
3,Bolts-Android/bolts,bolts,Class AggregateException,public void printStackTrace(java.io.PrintStream err),
4,Bolts-Android/bolts,bolts,Class AggregateException,public void printStackTrace(java.io.PrintWriter err),
5,Bolts-Android/bolts,bolts,Class AggregateException,@Deprecatedpublic java.util.List<java.lang.Exception> getErrors(),Deprecated. Please use getInnerThrowables() instead.
6,Bolts-Android/bolts,bolts,Class AppLink,public android.net.Uri getSourceUrl(),
7,Bolts-Android/bolts,bolts,Class AppLink,public java.util.List<AppLink.Target> getTargets(),
8,Bolts-Android/bolts,bolts,Class AppLink.Target,public android.net.Uri getUrl(),
9,Bolts-Android/bolts,bolts,Class AppLink.Target,public java.lang.String getAppName(),
10,Bolts-Android/bolts,bolts,Class AppLink.Target,public java.lang.String getClassName(),
11,Bolts-Android/bolts,bolts,Class AppLinkNavigation,public AppLink getAppLink(),
12,Bolts-Android/bolts,bolts,Class AppLinkNavigation,public android.os.Bundle getAppLinkData(),"Gets the al_applink_data for the AppLinkNavigation. This will generally contain data common to navigation attempts such as back-links, user agents, and other information that may be used in routing and handling an App Link request."
13,Bolts-Android/bolts,bolts,Class AppLinkNavigation,public android.os.Bundle getExtras(),"The extras for the AppLinkNavigation. This will generally contain application-specific data that should be passed along with the request, such as advertiser or affiliate IDs or other such metadata relevant on this device."
14,Bolts-Android/bolts,bolts,Class AppLinkNavigation,public AppLinkNavigation.NavigationResult navigate(android.content.Context context),Performs the navigation.
15,Bolts-Android/bolts,bolts,Class AppLinkNavigation,public static void setDefaultResolver(AppLinkResolver resolver),"Sets the default resolver to be used for App Link resolution. Setting this to null will cause the navigateInBackground(Context, Uri) methods to use the basic, built-in resolver provided by Bolts."
16,Bolts-Android/bolts,bolts,Class AppLinkNavigation,public static AppLinkResolver getDefaultResolver(),"Gets the default resolver to be used for App Link resolution. If the developer has not set a default resolver, this will return null, but the basic, built-in resolver provided by Bolts will be used."
17,Bolts-Android/bolts,bolts,Class AppLinkNavigation,"public static AppLinkNavigation.NavigationResult navigate(android.content.Context context, AppLink appLink)",Navigates to an AppLink.
18,Bolts-Android/bolts,bolts,Class AppLinkNavigation,"public static Task<AppLinkNavigation.NavigationResult> navigateInBackground(android.content.Context context, android.net.Uri destination, AppLinkResolver resolver)",Navigates to an AppLink for the given destination using the App Link resolution strategy specified.
19,Bolts-Android/bolts,bolts,Class AppLinkNavigation,"public static Task<AppLinkNavigation.NavigationResult> navigateInBackground(android.content.Context context, java.net.URL destination, AppLinkResolver resolver)",Navigates to an AppLink for the given destination using the App Link resolution strategy specified.
20,Bolts-Android/bolts,bolts,Class AppLinkNavigation,"public static Task<AppLinkNavigation.NavigationResult> navigateInBackground(android.content.Context context, java.lang.String destinationUrl, AppLinkResolver resolver)",Navigates to an AppLink for the given destination using the App Link resolution strategy specified.
21,Bolts-Android/bolts,bolts,Class AppLinkNavigation,"public static Task<AppLinkNavigation.NavigationResult> navigateInBackground(android.content.Context context, android.net.Uri destination)",Navigates to an AppLink for the given destination using the default App Link resolution strategy.
22,Bolts-Android/bolts,bolts,Class AppLinkNavigation,"public static Task<AppLinkNavigation.NavigationResult> navigateInBackground(android.content.Context context, java.net.URL destination)",Navigates to an AppLink for the given destination using the default App Link resolution strategy.
23,Bolts-Android/bolts,bolts,Enum AppLinkNavigation.NavigationResult,public static final AppLinkNavigation.NavigationResult FAILED,Indicates that the navigation failed and no app was opened.
24,Bolts-Android/bolts,bolts,Enum AppLinkNavigation.NavigationResult,public static final AppLinkNavigation.NavigationResult WEB,Indicates that the navigation succeeded by opening the URL in the browser.
25,Bolts-Android/bolts,bolts,Enum AppLinkNavigation.NavigationResult,public static AppLinkNavigation.NavigationResult[] values(),"Returns an array containing the constants of this enum type, inthe order they are declared. This method may be used to iterateover the constants as follows:for (AppLinkNavigation.NavigationResult c : AppLinkNavigation.NavigationResult.values())  System.out.println(c);"
26,Bolts-Android/bolts,bolts,Enum AppLinkNavigation.NavigationResult,public static AppLinkNavigation.NavigationResult valueOf(java.lang.String name),Returns the enum constant of this type with the specified name.The string must match exactly an identifier used to declare anenum constant in this type. (Extraneous whitespace characters are not permitted.)
27,Bolts-Android/bolts,bolts,Enum AppLinkNavigation.NavigationResult,public java.lang.String getCode(),
28,Bolts-Android/bolts,bolts,Class AppLinks,public static android.os.Bundle getAppLinkData(android.content.Intent intent),"Gets the App Link data for an intent, if there is any. This is the authorized function to check if an intent is AppLink. If null is returned it is not."
29,Bolts-Android/bolts,bolts,Class AppLinks,public static android.os.Bundle getAppLinkExtras(android.content.Intent intent),"Gets the App Link extras for an intent, if there is any."
30,Bolts-Android/bolts,bolts,Class AppLinks,public static android.net.Uri getTargetUrl(android.content.Intent intent),"Gets the target URL for an intent, regardless of whether the intent is from an App Link. If the intent is from an App Link, this will be the App Link target. Otherwise, it will be the data Uri from the intent itself."
31,Bolts-Android/bolts,bolts,Class CancellationToken,public boolean isCancellationRequested(),
32,Bolts-Android/bolts,bolts,Class CancellationToken,public CancellationTokenRegistration register(java.lang.Runnable action),"Registers a runnable that will be called when this CancellationToken is canceled. If this token is already in the canceled state, the runnable will be run immediately and synchronously."
33,Bolts-Android/bolts,bolts,Class CancellationToken,public void throwIfCancellationRequested() throws java.util.concurrent.CancellationException,
34,Bolts-Android/bolts,bolts,Class CancellationTokenSource,public boolean isCancellationRequested(),
35,Bolts-Android/bolts,bolts,Class CancellationTokenSource,public CancellationToken getToken(),
36,Bolts-Android/bolts,bolts,Class CancellationTokenSource,public void cancel(),Cancels the token if it has not already been cancelled.
37,Bolts-Android/bolts,bolts,Class CancellationTokenSource,public void cancelAfter(long delay),Schedules a cancel operation on this CancellationTokenSource after the specified number of milliseconds.
38,Bolts-Android/bolts,bolts,Class CancellationTokenSource,public void close(),
39,Bolts-Android/bolts,bolts,Class Capture<T>,public Capture(),
40,Bolts-Android/bolts,bolts,Class Capture<T>,public T get(),
41,Bolts-Android/bolts,bolts,Class MeasurementEvent,public static final java.lang.String MEASUREMENT_EVENT_NOTIFICATION_NAME,The action of the broadcast intent that represents Bolts measurement event.
42,Bolts-Android/bolts,bolts,Class MeasurementEvent,public static final java.lang.String MEASUREMENT_EVENT_NAME_KEY,The field name in the broadcast intent extra bundle that represents Bolts measurement event name.
43,Bolts-Android/bolts,bolts,Class MeasurementEvent,public static final java.lang.String MEASUREMENT_EVENT_ARGS_KEY,The field name in the broadcast intent extra bundle that represents Bolts measurement event arguments.
